ID,DDT_R2,DDT_logK
DNS0492,90.19373926,-3.279371419
DNS0493,95.89483957,-2.102507158
DNS0494,87.0521818,-2.73385602
DNS0496,91.97541199,-2.163041027
DNS0497,89.94356727,-2.173303697
DNS0499,92.1733081,-2.318587159
DNS0500,97.83965129,-1.774005584
DNS0501,67.02738526,-3.834028449
DNS0502,91.08488508,-2.088958412
DNS0503,92.25498403,-1.677350444
DNS0504,35.53233657,-4.401410615
DNS0505,89.6782193,-1.421552568
DNS0507,95.04139349,-3.229668088
DNS0508,78.66016404,-2.32602819
DNS0510,62.38367802,-3.466506789
DNS0511,97.99602932,-2.277251636
DNS0512,97.97156094,-2.310746045
DNS0513,91.3939085,-1.681856673
DNS0514,88.77700377,-3.233769478
DNS0515,83.69081973,-3.021982551
DNS0516,91.18072414,-1.063422426
DNS0517,71.1829626,-2.211878408
DNS0518,80.54604335,-4.053152531
DNS0520,50,-4.729691786
DNS0521,99.67850246,-0.727462314
DNS0522,95.29116383,-2.165210491
DNS0523,86.05492973,-2.214398646
DNS0524,92.64314853,-2.449629576
DNS0525,92.44097973,-2.308067158
DNS0526,99.44101192,-2.298065471
DNS0527,79.02688882,-3.738465846
DNS0528,93.01899969,-1.751578922
DNS0529,97.50365506,-1.792452427
DNS0530,90.92576586,-2.210224791
DNS0531,74.64986045,-2.59192791
DNS0532,63.746403,-2.98278009
DNS0533,94.87223745,-2.772076668
DNS0534,93.58708135,-3.815595326
DNS0535,81.02820244,-2.884806306
DNS0536,74.10195259,-3.053272715
DNS0537,64.40644112,-2.47911832
DNS0538,98.48897094,-2.511850899
DNS0539,84.92361593,-2.405412545
DNS0540,77.0396464,-3.880882523
DNS0541,98.77308263,-0.755031217
DNS0542,71.58028924,-3.34990804
DNS0543,92.9656732,-2.225058118
DNS0544,87.668497,-3.075530295
DNS0545,88.91943106,-3.053134954
DNS0546,91.52744271,-0.641603016
DNS0547,93.48898123,-2.246545834
DNS0548,95.03060049,-2.138811234
DNS0549,91.677089,-3.655065245
DNS0550,91.85533792,-3.939911819
DNS0551,63.22417528,-2.43762448
DNS0552,98.62644479,-1.805862678
DNS0553,85.13611327,-3.605318233
DNS0554,98.87649566,-2.526930279
DNS0555,91.92697693,-1.973507333
DNS0556,50.50296696,-3.937290019
DNS0557,94.84421275,-3.206313317
DNS0558,96.41289953,-2.052264089
DNS0560,75.96387636,-2.774477444
DNS0562,95.30859717,-3.199239115
DNS0563,97.21809581,-2.038817114
DNS0564,94.31274383,-1.986333232
DNS0565,83.7705887,-2.364026887
DNS0566,99.12089816,-2.039181544
DNS0568,91.2706347,-2.073316901
DNS0569,87.80471406,-1.52900775
DNS0570,73.64901653,-3.838086684
DNS0571,97.1542656,-2.568360251
DNS0572,81.28619118,-1.36917194
DNS0573,91.14091529,-2.007269149
DNS0574,67.61698832,-3.819172552
DNS0575,98.95047232,-0.896594736
DNS0576,80.46961408,-2.511801335
DNS0577,98.40365571,-0.983689631
DNS0578,87.75342448,-2.907463744
DNS0580,78.49370831,-3.698482796
DNS0581,96.60439676,-2.424118735
DNS0582,93.83391272,-3.226165492
DNS0583,99.27074968,-2.551689494
DNS0584,99.20929212,-2.026382899
DNS0585,84.93396113,-2.193705668
DNS0586,94.04225799,-2.602308124
DNS0587,98.61964592,-1.686737721
DNS0588,69.91426653,-2.422754649
DNS0589,93.64711362,-2.464208811
DNS0590,98.10403821,-1.053412321
DNS0591,97.27986596,-1.600184562
DNS0592,98.97890987,-3.393083419
DNS0593,97.20778573,-3.680512696
DNS0594,95.96211128,-1.021863452
DNS0595,93.7876797,-2.599830287
DNS0596,41.76231454,-3.681898018
DNS0597,.,.
DNS0598,85.08000555,-2.023553436
DNS0599,96.63166716,-1.030088039
DNS0600,.,.
DNS0601,99.39440258,-1.808106978
DNS0602,50,-4.729691798
DNS0603,89.50805519,-2.618759611
DNS0604,57.85282928,-3.58669046
DNS0605,84.08958831,-2.916057953
DNS0606,78.64717973,-3.874492547
DNS0607,88.68273734,-2.639441634
DNS0608,93.46053196,-1.441513475
